Year,Annual_Mean_Temp,Temp_Anomaly,City
1951,24.584013677671233,-0.20353917936115806,Bengaluru
1952,24.697158510997266,-0.09039434603512575,Bengaluru
1953,24.519068508876714,-0.26848434815567757,Bengaluru
1954,24.319246518232877,-0.4683063387995148,Bengaluru
1955,24.063794463972606,-0.7237583930597857,Bengaluru
1956,23.978306016120218,-0.8092468409121736,Bengaluru
1957,24.412794494575344,-0.3747583624570474,Bengaluru
1958,24.625342493315067,-0.16221036371732467,Bengaluru
1959,24.640835610479453,-0.14671724655293872,Bengaluru
1960,24.438005479945353,-0.3495473770870383,Bengaluru
1961,24.577630150136983,-0.2099227068954086,Bengaluru
1962,24.361205477150683,-0.4263473798817081,Bengaluru
1963,24.45558904361644,-0.33196381341595327,Bengaluru
1964,24.616448055737703,-0.17110480129468897,Bengaluru
1965,24.757931539465755,-0.029621317566636662,Bengaluru
1966,24.95791778171233,0.17036492467993725,Bengaluru
1967,24.260808210630138,-0.5267446464022534,Bengaluru
1968,24.49422127803279,-0.29333157899960227,Bengaluru
1969,24.825767150054794,0.03821429302240276,Bengaluru
1970,24.461438373712326,-0.3261144833200653,Bengaluru
1971,24.13217809239726,-0.6553747646351304,Bengaluru
1972,24.650478142882516,-0.13707471414987538,Bengaluru
1973,24.714479429424657,-0.07307342760773494,Bengaluru
1974,24.480739747739726,-0.3068131092926656,Bengaluru
1975,24.229054816739726,-0.5584980402926654,Bengaluru
1976,24.342622996693986,-0.4449298603384051,Bengaluru
1977,24.436862967780822,-0.3506898892515693,Bengaluru
1978,24.53900001612329,-0.24855284090910246,Bengaluru
1979,24.866342456849317,0.07878959981692546,Bengaluru
1980,24.872800581967216,0.08524772493482402,Bengaluru
1981,24.664917824561645,-0.12263503247074681,Bengaluru
1982,24.96643835590411,0.17888549887171834,Bengaluru
1983,25.028123267876715,0.24057041084432385,Bengaluru
1984,24.535792363811474,-0.2517604932209174,Bengaluru
1985,24.84275343391781,0.055200576885418684,Bengaluru
1986,24.937780832232875,0.15022797520048314,Bengaluru
1987,25.00164382889041,0.21409097185801684,Bengaluru
1988,24.904166642445354,0.1166137854129623,Bengaluru
1989,24.729931511301373,-0.05762134573101818,Bengaluru
1990,24.846958898369863,0.059406041337471294,Bengaluru
1991,24.859013664479452,0.0714608074470604,Bengaluru
1992,24.640300535655737,-0.147252321376655,Bengaluru
1993,24.751054772726025,-0.03649808430636625,Bengaluru
1994,24.68808216709589,-0.09947068993650277,Bengaluru
1995,24.776589033041095,-0.010963823991296806,Bengaluru
1996,24.506161228565574,-0.2813916284668174,Bengaluru
1997,25.085301408479452,0.2977485514470608,Bengaluru
1998,25.396835647178083,0.6092827901456914,Bengaluru
1999,24.788917739753423,0.0013648827210310799,Bengaluru
2000,24.682827894836063,-0.10472496219632887,Bengaluru
2001,24.997150687602737,0.20959783057034542,Bengaluru
2002,25.1256027389863,0.33804988195390706,Bengaluru
2003,25.72834244419178,0.9407895871593901,Bengaluru
2004,24.68698089736339,-0.10057195966900068,Bengaluru
2005,24.933547923945202,0.1459950669128105,Bengaluru
2006,24.868616456739723,0.08106359970733124,Bengaluru
2007,24.583150733054797,-0.20440212397759439,Bengaluru
2008,24.470095637076504,-0.3174572199558874,Bengaluru
2009,24.950684926068494,0.16313206903610222,Bengaluru
2010,25.08578077857534,0.2982279215429493,Bengaluru
2011,24.559328765219178,-0.2282240918132139,Bengaluru
2012,25.011625717281422,0.22407286024903073,Bengaluru
2013,24.897465754041097,0.1099128970087051,Bengaluru
2014,25.108950229479454,0.3213973724470627,Bengaluru
2015,25.151372354438355,0.363819497405963,Bengaluru
2016,25.546333163101096,0.7587803060687044,Bengaluru
2017,25.472583073136985,0.6850302161045931,Bengaluru
2018,25.124242433931506,0.33668957689911494,Bengaluru
2019,25.591829231986303,0.8042763749539112,Bengaluru
2020,25.277767250382514,0.4902143933501222,Bengaluru
2021,24.64739726027397,-0.14015559675842226,Bengaluru
