k,inertia,silhouette
2,885.6551791706564,0.01943942720864129
3,871.1848838480588,0.018223899619985686
4,857.6633984030797,0.023836616927102518
5,847.2783941531591,0.022121205570499358
6,837.0302250064972,0.024782829345204652
7,828.031385971151,0.029635100402048614
8,818.8200516549572,0.030277000521115028
9,809.945492381732,0.036286669369245184
10,804.5513108481124,0.0343711075131904
11,795.1025261036591,0.040452561265986266
12,792.9233914816443,0.03580135615554309
13,782.0293722639979,0.04238120889382401
14,778.6665899738828,0.04185972987610685
15,771.4025478753385,0.0424251619576025
16,767.3902982373224,0.042101208705301194
17,763.4608529160763,0.044172727931337565
18,755.7093112950716,0.04601491462291583
19,752.7515208699831,0.04731659579011192
20,751.1421806042185,0.04560181813853561
21,743.5078825643672,0.0487540383079361
22,739.3574437879392,0.04710072252867735
23,734.2487251818386,0.05103980125417644
24,727.9435462690445,0.05234870184688606
25,725.9194735831402,0.053506619349954467
26,721.7444236800845,0.05517354041794262
27,715.3074169349902,0.05570596841848199
28,713.6727402917707,0.05639968399417558
29,710.9569343300823,0.053189393950131614
30,704.3731579696442,0.0579437527638416
