state_name,type,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Manipur,Removals,-1656614.0800000000,-1656614.0800000000,-1660575.5800000000,-1660575.5800000000,-1660575.5800000000,-1650205.19,-1427478.76,-1427478.76,-3998728.76,-3998728.76
Meghalaya,Emissions,1479716.93,1906241.29,2024406.23,2284725.27,2844409.73,3282060.96,2927328.27,3076175.08,3179333.06,2597515.58
Meghalaya,Removals,-3252353.97,-3252353.97,-3251439.1,-3251439.1,-3251439.1,-3242799.8000000000,406398.34,406398.34,1906083.34,1906083.34
Mizoram,Emissions,317375.5,318584.98000000000,316559.54000000000,334636.36,351918.42,355367.07,373333.48,387542.57,395960.43,405960.52
Mizoram,Removals,-1101954.74,-1101954.74,-1117232.91,-1117232.91,-1117232.91,-1101871.12,3223575.59,3223575.59,5082289.59,5082289.59
Nagaland,Emissions,345932.02,372400.42,414853.17,393885.0,419557.3,459439.15,467283.61,489567.78,497946.56,512316.11
Nagaland,Removals,-680463.26,-680463.26,-663860.55,-663860.55,-663860.55,-661050.02,1917556.62,1917556.62,8250779.12,8250779.12
Orissa,Emissions,80305965.23000000,86778156.67,94823365.65,99981219.0,112946491.39,132469464.02,134288888.81,131954870.4,144110025.39,159499746.48
Orissa,Removals,-9597421.61,-9597421.61,-9628148.19,-9628148.19,-9628148.19,-9698948.45,-2280655.05,-2280655.05,-14765310.38,-14765310.38
Puducherry,Emissions,1371052.59,1384043.61,1448868.54,1544321.2,1530629.6,1584692.18,1470462.15,1421570.45,1416772.26,1580484.0800000000
Puducherry,Removals,-28149.01,-28149.01,-27910.72,-27910.72,-27910.72,-27828.44,-106474.8,-106474.8,49248.24,49248.24
Punjab,Emissions,33611320.1,35587700.48,36050960.07,40865238.02,40684343.6,39058765.41,39633210.57000000,39924913.27,41944857.870000000,43623796.68
Punjab,Removals,-475894.1,-475894.1,-477514.37,-477514.37,-477514.37,-480729.55,-86410.72,-86410.72,-1158868.55,-1158868.55
Rajasthan,Emissions,59224317.65,63536268.72,68341537.35,73320562.98,77317845.91,84164854.46,91704496.75,96032761.66,109308116.35,109352472.79
Rajasthan,Removals,276193.4800000000,276193.4800000000,287990.2900000000,287990.2900000000,287990.2900000000,593766.6600000000,-1156213.91,-1156213.91,-5581425.91,-5581425.91
Sikkim,Emissions,183149.43,183613.13,189895.32,239769.47,298590.58,340614.96,351787.34,354103.31,365300.52,363578.29
Sikkim,Removals,-4215050.17,-4215050.17,-4126348.69,-4126348.69,-4126348.69,-4099778.56,132281.3,132281.3,238717.3,238717.3
Tamil Nadu,Emissions,82831598.7,89047685.04,95185662.23,102970103.99,105872887.47,107782904.46,118996426.21,119383773.36,126715574.54,126477445.6
